CENTRO DE COSTO,AREA,UNIDAD,SUBUNIDAD,SEDE,OFICINA / AREA,UBICACIÓN,MODELO INSTALADO,SERIE,IP,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,OWNER,TIPO
211,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Lima,Agencia Canete,Comercial,MX722adhe,7464111124753,118.206.22.69,av Dos de Mayo 434  438,San Vicente de Cañete,Cañete,Lima,Lexmark,Contrato 2021
215,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Provincia,Agencia Chincha,Operaciones,MX722adhe,746410202415B,118.205.22.68,Mariscal Benavides 117 125,Chincha Alta,Chincha,Ica,Lexmark,Contrato 2021
215,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Provincia,Agencia Chincha,Comercial,MX722adhe,746410202418L,118.205.22.69,Mariscal Benavides 117 125,Chincha Alta,Chincha,Ica,Lexmark,Contrato 2021
218,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Quillabamba,Sub Gerencia,MX722adhe,7464939022PT5,118.206.28.68,av Bolognesi 155-157,Santa Ana,La Convencion,Cusco,Lexmark,Contrato 2021
218,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Quillabamba,Plataforma,MX722adhe,7464939022P9Y,118.206.28.69,av Bolognesi 155-157,Santa Ana,La Convencion,Cusco,Lexmark,Contrato 2021
220,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Arequipa,Centro de Negocios,MX522adhe,701701130LPBH,118.205.0.69,c San Francisco 108,Arequipa,Arequipa,Arequipa,Lexmark,Contrato 2021
220,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Arequipa,Sala Prime,MX532adwe,702025210043W,118.205.0.70,c San Francisco 108,Arequipa,Arequipa,Arequipa,Lexmark,Contrato 2021
220,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Arequipa,Operaciones,MX722adhe,7464939022PDZ,118.205.0.68,c San Francisco 108,Arequipa,Arequipa,Arequipa,Lexmark,Contrato 2021
220,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Arequipa,Gerencia,MX722adhe,7464939022P9P,118.205.0.71,c San Francisco 108,Arequipa,Arequipa,Arequipa,Lexmark,Contrato 2021
220,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Arequipa,Banca Negocio,MX722adhe,7464939022PY7,118.205.0.72,c San Francisco 108,Arequipa,Arequipa,Arequipa,Lexmark,Contrato 2021
221,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia San Camilo,Sub Gerencia,MX722adhe,7464939022R1T,118.206.30.68,c Peru 324,Arequipa,Arequipa,Arequipa,Lexmark,Contrato 2021
221,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia San Camilo,Plataforma,MX722adhe,7464939022R4M,118.206.30.69,c Peru 324,Arequipa,Arequipa,Arequipa,Lexmark,Contrato 2021
222,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Miraflores (Arequipa),Plataforma,MX722adhe,7464049023X0B,118.206.32.68,Cc la Negrita Tda 2,Miraflores,Arequipa,Arequipa,Lexmark,Contrato 2021
222,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Miraflores (Arequipa),Plataforma,MX722adhe,7464939022R5H,118.206.32.69,Cc la Negrita Tda 2,Miraflores,Arequipa,Arequipa,Lexmark,Contrato 2021
223,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Cayma,Plataforma,MS826de,40649370194TH,118.206.34.70,av Ejercito 710,Yanahuara,Arequipa,Arequipa,Lexmark,Contrato 2021
223,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Cayma,Sala Prime,MX432adwe,701934240K206,118.206.34.72,av Ejercito 710,Yanahuara,Arequipa,Arequipa,Lexmark,Contrato 2021
223,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Cayma,Caja,MX722adhe,7464939022R0R,118.206.34.68,av Ejercito 710,Yanahuara,Arequipa,Arequipa,Lexmark,Contrato 2021
223,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Cayma,Caja,MX722adhe,7464939022P60,118.206.34.69,av Ejercito 710,Yanahuara,Arequipa,Arequipa,Lexmark,Contrato 2021
224,Banca Comercial,Division Sur,Oficina Magisterio,Provincia,Agencia Magisterio,Ventanilla,MX722adhe,74641030241Z8,118.205.246.68,av de la Cultura N 2109,Cusco,Cusco,Cusco,Lexmark,Contrato 2021
224,Banca Comercial,Division Sur,Oficina Magisterio,Provincia,Agencia Magisterio,Sub Gerencia,MX722adhe,74641020241BV,118.205.246.69,av de la Cultura N 2109,Cusco,Cusco,Cusco,Lexmark,Contrato 2021
225,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Camana (Arequipa),Operaciones,MX722adhe,7464939022PZR,118.206.36.68,Jr 28 De Julio 405,Camana,Camana,Arequipa,Lexmark,Contrato 2021
225,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Camana (Arequipa),Operaciones,MX722adhe,7464939022R2G,118.206.36.69,Jr 28 De Julio 405,Camana,Camana,Arequipa,Lexmark,Contrato 2021
226,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Parque Industrial,Sub Gerencia,MX722adhe,7464939022PBV,118.206.38.68,av Jacinto Ibanez 521,Arequipa,Arequipa,Arequipa,Lexmark,Contrato 2021
226,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Parque Industrial,Atencion al Cliente,MX722adhe,7464939022R5X,118.206.38.69,av Jacinto Ibanez 521,Arequipa,Arequipa,Arequipa,Lexmark,Contrato 2021
228,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Juliaca,Operaciones,MX722adhe,74641050242TW,118.205.24.68,Jr San Roman 441,Juliaca,San Roman,Puno,Lexmark,Contrato 2021
228,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Juliaca,Comercial,MX722adhe,74641050242VR,118.205.24.69,Jr San Roman 441,Juliaca,San Roman,Puno,Lexmark,Contrato 2021
228,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Juliaca,Creditos,MX722adhe,74641050242V3,118.205.24.70,Jr San Roman 441,Juliaca,San Roman,Puno,Lexmark,Contrato 2021
229,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Puno,Atencion al Cliente,MX722adhe,74641050242VD,118.206.40.68,Jr Lima 400,Puno,Puno,Puno,Lexmark,Contrato 2021
229,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Puno,Atencion al Cliente,MX722adhe,74641020241CN,118.206.40.69,Jr Lima 400,Puno,Puno,Puno,Lexmark,Contrato 2021
231,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Ilo,Plataforma,MX722adhe,746410202418Z,118.206.42.68,Psje Malatesta 103,Ilo,Ilo,Moquegua,Lexmark,Contrato 2021
231,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Ilo,Plataforma,MX722adhe,7464102024195,118.206.42.69,Psje Malatesta 103,Ilo,Ilo,Moquegua,Lexmark,Contrato 2021
232,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Tacna,Sala Prime,MX432adwe,701934240K1ZR,118.205.26.72,av San Martin 665,Tacna,Tacna,Tacna,Lexmark,Contrato 2021
232,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Tacna,Sub Gerencia,MX722adhe,746410202418P,118.205.26.68,av San Martin 665,Tacna,Tacna,Tacna,Lexmark,Contrato 2021
232,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Tacna,Banca Personal,MX722adhe,746410202419H,118.205.26.69,av San Martin 665,Tacna,Tacna,Tacna,Lexmark,Contrato 2021
232,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Tacna,Banca Personal,MX722adhe,74641050242WH,118.205.26.70,av San Martin 665,Tacna,Tacna,Tacna,Lexmark,Contrato 2021
232,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Tacna,Atencion al Cliente,MX722adhe,74641050242TH,118.205.26.71,av San Martin 665,Tacna,Tacna,Tacna,Lexmark,Contrato 2021
233,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia 7 De Junio,Sub Gerencia,MX722adhe,74641050242T9,118.206.44.68,Jr 7 Junio 201,Calleria,Coronel Portillo,Ucayali,Lexmark,Contrato 2021
233,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia 7 De Junio,Plataforma,MX722adhe,74641050242R0,118.206.44.69,Jr 7 Junio 201,Calleria,Coronel Portillo,Ucayali,Lexmark,Contrato 2021
234,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Lima,Agencia Pque Industrial Ves,Sub Gerencia,MX722adhe,74641101246FT,118.206.46.68,Pqe Industrial Cono Sur,Villa El Salvador,Lima,Lima,Lexmark,Contrato 2021
234,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Lima,Agencia Pque Industrial Ves,Gerencia,MX722adhe,74641101246CB,118.206.46.69,Pqe Industrial Cono Sur,Villa El Salvador,Lima,Lima,Lexmark,Contrato 2021
235,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia Huancayo,Sala Prime,MX432adwe,701934240K203,118.205.28.72,c Real 631 639,Huancayo,Huancayo,Junin,Lexmark,Contrato 2021
