VLAN_CODE,VLAN_NAME,IP,MODELO,SERIE,UBICACION,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,TIPO
787,787 - Ag. Montegrande,118.207.74.68,MX722adhe,74641101246CM,Sub Gerencia,c Monte Grande 133,Santiago de Surco,Lima,Lima,Contrato 2021
787,787 - Ag. Montegrande,118.207.74.69,MX722adhe,74641111247C2,Banca Negocio,c Monte Grande 133,Santiago de Surco,Lima,Lima,Contrato 2021
791,791 - Ag. Rotonda,118.207.76.68,MX722adhe,74641101246C8,Sub Gerencia,Av La Fontana 371,La Molina,Lima,Lima,Contrato 2021
791,791 - Ag. Rotonda,118.207.76.69,MX722adhe,74641101246KV,Plataforma,Av La Fontana 371,La Molina,Lima,Lima,Contrato 2021
796,796 - Ag. Metro Santa Elena,118.207.80.68,MX722adhe,7464102024170,Sub Gerencia,av Juan Tomas Stack 250,Chiclayo,Chiclayo,Lambayeque,Contrato 2021
796,796 - Ag. Metro Santa Elena,118.207.80.69,MX722adhe,746410302420W,Plataforma,av Juan Tomas Stack 250,Chiclayo,Chiclayo,Lambayeque,Contrato 2021
797,797 - Ag. Barrio Comercio,118.207.82.68,MX722adhe,74641050242V9,Operaciones,Jr Tahuantinsuyo 298C2,Tarapoto,San Martin,San Martin,Contrato 2021
797,797 - Ag. Barrio Comercio,118.207.82.69,MX722adhe,74641050242V7,Sub Gerencia,Jr Tahuantinsuyo 298C2,Tarapoto,San Martin,San Martin,Contrato 2021
827,827 - Ag. Plaza de Armas Huanuco,118.207.84.68,MX722adhe,74641050242VH,Gerencia,Jr DOS De Mayo 1137,Huanuco,Huanuco,Huanuco,Contrato 2021
827,827 - Ag. Plaza de Armas Huanuco,118.207.84.69,MX722adhe,746410202419G,Comercial,Jr DOS De Mayo 1137,Huanuco,Huanuco,Huanuco,Contrato 2021
832,832 - Ag. El Sol,118.207.86.68,MX722adhe,7464103024201,Banca Negocio,av Proceres Independ 2704 2708,San Juan de Lurigancho,Lima,Lima,Contrato 2021
832,832 - Ag. El Sol,118.207.86.69,MX722adhe,74641050242TM,Banca Negocio,av Proceres Independ 2704 2708,San Juan de Lurigancho,Lima,Lima,Contrato 2021
841,841 - Ag. Especial Senati,118.207.88.68,MX432adwe,701941340M3MB,Sub Gerencia,av Alfredo Mendiola 3520,Independencia,Lima,Lima,Contrato 2021
842,842 - Ag. Carabayllo,118.207.90.68,MX722adhe,746411112475X,Ventanilla,av Tupac Amaru 3368,Carabayllo,Lima,Lima,Contrato 2021
842,842 - Ag. Carabayllo,118.207.90.69,MX722adhe,746411112477G,Plataforma,av Tupac Amaru 3368,Carabayllo,Lima,Lima,Contrato 2021
843,843 - Ag. Ovalo Papal,118.207.92.68,MX722adhe,74641050242VV,Atencion al Cliente,Mz J Lote 01 Local 1088,Trujillo,Trujillo,La Libertad,Contrato 2021
843,843 - Ag. Ovalo Papal,118.207.92.69,MX722adhe,74641050242RL,Atencion al Cliente,Mz J Lote 01 Local 1088,Trujillo,Trujillo,La Libertad,Contrato 2021
847,847 - Ag. El Retablo,118.207.96.68,MX722adhe,74641020241BW,Plataforma,Av. Los Angeles 602,Comas,Lima,Lima,Contrato 2021
847,847 - Ag. El Retablo,118.207.96.69,MX722adhe,7464102024196,Gerencia,Av. Los Angeles 602,Comas,Lima,Lima,Contrato 2021
849,849 - Ag. Cedros de Villa,118.207.98.68,MX722adhe,746410202416Z,Sub Gerencia,Av Alameda Sur Esq Av Sn Marcos,Chorrillos,Lima,Lima,Contrato 2021
849,849 - Ag. Cedros de Villa,118.207.98.69,MX722adhe,74641050242RK,Plataforma,Av Alameda Sur Esq Av Sn Marcos,Chorrillos,Lima,Lima,Contrato 2021
857,857 - Ag. Valle Sharon,118.207.100.69,MX432adwe,701941340M401,Sala Prime,av Victor Castro Iglesias 790,San Juan de Miraflores,Lima,Lima,Contrato 2021
857,857 - Ag. Valle Sharon,118.207.100.68,MX722adhe,74641101246L7,Plataforma,av Victor Castro Iglesias 790,San Juan de Miraflores,Lima,Lima,Contrato 2021
868,868 - Ag. Mala,118.207.102.68,MX722adhe,74641020241CH,Plataforma,Jr Real 305,Mala,Cañete,Lima,Contrato 2021
868,868 - Ag. Mala,118.207.102.69,MX722adhe,746410202419P,Plataforma,Jr Real 305,Mala,Cañete,Lima,Contrato 2021
876,876 - Ag. Javier Prado Oeste,118.207.106.69,MX522adhe,701701030LK7L,Sala Prime,av Javier Prado ote 604,Magdalena del Mar,Lima,Lima,Contrato 2021
876,876 - Ag. Javier Prado Oeste,118.207.106.68,MX722adhe,746411112478L,Sub Gerencia,av Javier Prado ote 604,Magdalena del Mar,Lima,Lima,Contrato 2021
879,879 - Ag. Embajada de EE.UU.,118.207.140.69,MX522adhe,701701130LPDH,Cancilleria,Avenida La Encalada cdra 17,Santiago de Surco,Lima,Lima,Contrato 2021
879,879 - Ag. Embajada de EE.UU.,118.207.108.68,MX722adhe,74641050242RT,Sub Gerencia,Jr. El Polo N° 759,Santiago de Surco,Lima,Lima,Contrato 2021
879,879 - Ag. Embajada de EE.UU.,118.207.108.69,MX722adhe,74641050242RX,Plataforma,Jr. El Polo N° 759,Santiago de Surco,Lima,Lima,Contrato 2021
879,879 - Ag. Embajada de EE.UU.,118.205.252.68,MX432adwe,701941340M3ZZ,AID,Avenida La Encalada cdra 17,Santiago de Surco,Lima,Lima,Contrato 2021
891,891 - Ag. Express Rioja,118.207.110.68,MX722adhe,7464103024202,Operaciones,Jr 2 De Mayo 702,Rioja,Rioja,San Martin,Contrato 2021
891,891 - Ag. Express Rioja,118.207.110.69,MX722adhe,74641020241B0,Gerencia,Jr 2 De Mayo 702,Rioja,Rioja,San Martin,Contrato 2021
900,900 - Ag. Mall Plaza Trujillo,118.207.112.68,MX722adhe,746410202418B,Sub Gerencia,av America ote 750,Trujillo,Trujillo,La Libertad,Contrato 2021
900,900 - Ag. Mall Plaza Trujillo,118.207.112.69,MX722adhe,746411112476W,Plataforma,av America ote 750,Trujillo,Trujillo,La Libertad,Contrato 2021
908,908 - Ag. Yanahuara,118.207.114.68,MX722adhe,7464939022PB4,Sub Gerencia,Av Jose Ab Quinones 700,Yanahuara,Arequipa,Arequipa,Contrato 2021
908,908 - Ag. Yanahuara,118.207.114.69,MX722adhe,7464939022R3V,Gerencia,Av Jose Ab Quinones 700,Yanahuara,Arequipa,Arequipa,Contrato 2021
918,918 - Ag. Real Plaza Trujillo,118.207.116.68,MX722adhe,74641020241DG,Atencion Al Cliente,av Cesar Vallejo ote 1345,Trujillo,Trujillo,La Libertad,Contrato 2021
918,918 - Ag. Real Plaza Trujillo,118.207.116.69,MX722adhe,746410202415N,Atencion Al Cliente,av Cesar Vallejo ote 1345,Trujillo,Trujillo,La Libertad,Contrato 2021
933,933 - Ag. Lurin,118.207.120.68,MX722adhe,74641101246KM,Sub Gerencia,Urb Las Virreynas Lote 1-2,Lurin,Lima,Lima,Contrato 2021
933,933 - Ag. Lurin,118.207.120.69,MX722adhe,74641101246LW,Operaciones,Urb Las Virreynas Lote 1-2,Lurin,Lima,Lima,Contrato 2021
